E_nu[GeV] muCC mu_barCC eCC e_barCC tauCC tau_barCC nuNC nu_barNC
5.79 4.37022 1.75928 2.40389 0.697764 0.17104 0.0894594 2.75211 1.1969
5.81 4.16539 1.67702 2.31162 0.836999 0.175663 0.0773098 2.74114 1.13137
5.83 4.15282 1.93939 2.33363 0.960535 0.154429 0.0947966 2.71158 1.17089
5.85 4.23657 1.6363 2.28281 0.685976 0.192482 0.0925941 3.04473 1.32064
5.87 4.07813 1.8448 2.2768 0.836312 0.133322 0.0921945 2.65838 1.23644
5.89 4.10855 1.6818 2.33786 0.83917 0.169849 0.0876305 2.57258 1.30517
5.91 4.02999 1.6945 1.91382 0.859931 0.201185 0.0837029 2.55612 1.24066
5.93 3.99892 1.72371 2.28896 0.732842 0.1552 0.102636 2.83601 1.23492
5.95 3.90798 1.88304 2.50337 0.764218 0.163202 0.0929675 2.62649 1.37553
5.97 3.99748 1.74344 2.0717 0.841346 0.153916 0.078715 2.54728 1.04349
5.99 4.06365 1.80216 2.21533 0.771025 0.164756 0.0967342 2.73396 1.14517
6.01 3.61318 1.66057 2.0515 0.636343 0.173379 0.0977599 2.69221 1.10579
6.03 4.05604 1.82405 2.14515 0.790471 0.159508 0.0878741 2.66817 1.15243
6.05 3.77677 1.51294 2.15105 0.719356 0.195992 0.0748671 2.57209 1.11915
6.07 3.59447 1.65404 2.04566 0.684598 0.144154 0.113185 2.38295 1.11724
6.09 4.15533 1.59937 2.15544 0.868936 0.175175 0.0894949 2.73791 1.22374
6.11 3.49655 1.84044 2.32819 0.726761 0.180893 0.0907564 2.60896 1.07259
6.13 3.96437 1.35494 1.98223 0.664921 0.174795 0.105086 2.53394 1.08897
6.15 3.68221 1.50206 2.09202 0.742633 0.160395 0.0823956 2.44377 1.04414
6.17 3.66597 1.5423 1.83683 0.764025 0.172429 0.0983059 2.37739 1.08688
6.19 3.90347 1.69503 2.10608 0.736813 0.166343 0.0927831 2.38911 1.17076
6.21 3.69045 1.60121 1.95028 0.791749 0.169824 0.109761 2.31503 1.24667
6.23 3.51564 1.41263 2.04959 0.673131 0.18225 0.0720652 2.31083 1.25176
6.25 3.55193 1.64468 2.17612 0.861471 0.185379 0.102086 2.63893 0.981634
6.27 3.81854 1.71654 1.92101 0.970092 0.13953 0.0976415 2.62249 1.48586
6.29 3.73956 1.64243 2.27626 0.719317 0.180568 0.0912735 2.58208 1.26695
6.31 3.98428 1.59457 2.00938 0.671746 0.166132 0.0930405 2.53713 0.997228
6.33 3.01671 1.37874 1.86428 0.702793 0.194928 0.0984604 2.06672 1.21517
6.35 3.2211 1.32622 1.89838 0.645258 0.153188 0.0974629 2.08522 1.07347
6.37 3.55997 1.32223 1.97311 0.725218 0.196509 0.0995764 2.35263 1.04387
6.39 3.07167 1.33986 1.75977 0.557724 0.152136 0.0888692 2.26288 0.792824
6.41 3.39484 1.39554 1.73206 0.632012 0.187288 0.0947175 2.26837 0.771867
6.43 3.27161 1.47347 1.88028 0.61137 0.16018 0.0855216 2.17454 0.930402
6.45 3.4058 1.4268 1.84434 0.663234 0.184816 0.108182 2.20334 0.97895
6.47 3.26863 1.36722 1.74403 0.523364 0.175883 0.08687 2.2666 0.997992
6.49 3.33615 1.28882 1.68792 0.460748 0.166817 0.110155 1.91305 0.876916
6.51 3.08451 1.22391 1.9639 0.627368 0.170898 0.081684 2.38483 1.10783
6.53 3.20048 1.4911 1.77435 0.5827 0.183557 0.12303 1.98035 1.06651
6.55 3.5352 1.52888 1.99078 0.626088 0.186396 0.0911616 2.37446 0.985122
6.57 3.31467 1.23291 1.75271 0.587529 0.1469 0.0960006 2.16418 0.9857
6.59 3.15847 1.44627 1.84842 0.632454 0.195867 0.0993888 2.2264 0.986358
6.61 2.98657 1.36604 1.66814 0.590995 0.182897 0.083789 2.12307 0.821263
6.63 3.23954 1.2808 1.87516 0.727921 0.160593 0.105273 2.26901 0.918681
6.65 3.21659 1.6509 1.76642 0.686136 0.20857 0.109459 2.26712 1.00511
6.67 3.35273 1.20686 1.71907 0.637996 0.169356 0.102902 2.14588 0.800876
6.69 3.02031 1.2963 1.55293 0.56368 0.167004 0.0932547 2.02067 0.925974
6.71 3.20459 1.26266 1.63638 0.604054 0.209028 0.0991315 1.90561 0.878246
6.73 3.14728 1.28222 1.73974 0.580399 0.16233 0.100371 1.88978 1.07983
6.75 2.94365 1.39034 1.63558 0.591517 0.155382 0.0881611 2.09274 0.941885
6.77 3.1813 1.23845 1.8059 0.53146 0.17458 0.100831 1.87418 0.913508
